NMDPcode,NMDPdescription,HLA_A_coverage,HLA_B_coverage,HLA_C_coverage,HLA_DRB1_coverage
AAFA,African American,0.93142545501314,0.96761972357379,0.93662036280993,0.929027935725246
AFB,African,0.92509980992529,0.96574012331915,0.93288793297016,0.936682908611453
AINDI,South Asian Indian,0.97719012510022,0.84743991895233,0.90970946960602,0.870119389581869
AISC,American Indian — South or Central Am.,0.98253454591643,0.9523023323363,0.9750980358707,0.915723007535738
ALANAM,Alaska native or Aleut,0.98903098950313,0.97960753989076,0.96649625485867,0.959195961736405
AMIND,North American Indian,0.99151873912686,0.97713959886298,0.98664974118804,0.927207867469163
CARB,Caribbean black,0.91916182231467,0.96645014148268,0.92828014520287,0.934937602549348
CARHIS,Caribbean hispanic,0.97315464186249,0.95431802099942,0.95367647719151,0.897050305795652
CARIBI,Caribbean Indian,0.97230527644564,0.94418563772066,0.94346838357968,0.888244985464575
EURCAU,European caucasian,0.99635988869115,0.99105362012241,0.99384058061635,0.973630702703224
FILII,Filipino,0.69872107276587,0.60081275459138,0.8919111034902,0.83923392098949
HAWI,Hawaiian or other Pacific Islander,0.83546030623845,0.7630003214042,0.91045332115361,0.858092223597715
JAPI,Japanese,0.99104550023165,0.91003648434898,0.93220762257683,0.899736090448603
KORI,Korean,0.99746151099329,0.90747294912942,0.88244131010865,0.894310020882442
MENAFC,Middle Eastern or N. Coast of Africa,0.99469766774729,0.97539104950132,0.97145214373245,0.966770516698449
MSWHIS,Mexican or Chicano,0.96408522991946,0.89824593251224,0.96741972168123,0.836857531876038
NCHI,Chinese,0.98989615155984,0.88897498881045,0.89388091659503,0.834301332489116
SCAHIS,Hispanic — South or Central American,0.95918062125204,0.88739661698596,0.96024198931586,0.854872958846051
SCAMB,Black — South or Central American,0.93486464187954,0.94159369144445,0.9410499830361,0.905045842996177
SCSEAI,Southeast Asian,0.9592369884612,0.85181385223156,0.90796483792134,0.846793799453565
VIET,Vietnamese,0.9493158861859,0.72329195102877,0.87851801098544,0.663932709650512
